selected_windows,covered_sequences,selected_sequences,positive_windows,negative_windows,zero_windows,positive_precision,positive_sum,negative_mass,utility_sum,worst_sequence_utility,sequence_utility,candidate_stability_min,candidate_stability_mean,eligible,outer_held_out_seq,model_config,score_config,gate_config,model_order,score_order,gate_order
10,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",2,3,5,0.4,0.004210556988,0.064218307269,-0.060007750281,-0.05319753944,"{'MOT20-02': -0.053197539440000004, 'MOT20-03': 0.001216545012, 'MOT20-05': -0.008026755853}",0.6,0.92,0,MOT20-01,extra_d7_l3,seedq25_positive_fraction,disp_le_040,0,1,5
10,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",2,4,4,0.333333333333,0.004210556988,0.210613063278,-0.20640250629,-0.145178210997,"{'MOT20-02': -0.053197539440000004, 'MOT20-03': -0.145178210997, 'MOT20-05': -0.008026755853}",0.8,0.96,0,MOT20-01,extra_d7_l3,seedq25_positive_fraction,stable_080,0,1,6
6,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",0,3,3,0.0,0.0,0.064218307269,-0.064218307269,-0.056191551416,"{'MOT20-02': -0.056191551416000005, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",0.8,0.966666666667,0,MOT20-01,extra_d7_l3,seedq25_positive_fraction,disp_le_020_stable_080,0,1,7
6,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",0,3,3,0.0,0.0,0.064218307269,-0.064218307269,-0.056191551416,"{'MOT20-02': -0.056191551416000005, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",0.8,0.966666666667,0,MOT20-01,extra_d7_l3,seedq25_positive_fraction,disp_le_025_stable_080,0,1,8
8,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,3,4,0.25,0.001216545012,0.064218307269,-0.063001762257,-0.056191551416,"{'MOT20-02': -0.056191551416000005, 'MOT20-03': 0.001216545012, 'MOT20-05': -0.008026755853}",0.8,0.975,0,MOT20-01,extra_d7_l3,seedq25_positive_fraction,disp_le_030_stable_080,0,1,9
6,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",0,3,3,0.0,0.0,0.064218307269,-0.064218307269,-0.056191551416,"{'MOT20-02': -0.056191551416000005, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",0.8,0.966666666667,0,MOT20-01,extra_d7_l3,seedq25_positive_fraction,q25_pos_disp_le_025_stable_080,0,1,10
8,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,3,4,0.25,0.001216545012,0.064218307269,-0.063001762257,-0.056191551416,"{'MOT20-02': -0.056191551416000005, 'MOT20-03': 0.001216545012, 'MOT20-05': -0.008026755853}",0.8,0.975,0,MOT20-01,extra_d7_l3,seedq25_positive_fraction,q25_pos_disp_le_030_stable_080,0,1,11
12,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,6,5,0.142857142857,0.001216545012,0.559095323695,-0.557878778683,-0.339605703221,"{'MOT20-02': -0.073094864465, 'MOT20-03': -0.145178210997, 'MOT20-05': -0.339605703221}",0.4,0.883333333333,0,MOT20-01,extra_d7_l3,mean_target_q25,all,0,2,0
2,2,"['MOT20-02', 'MOT20-03']",0,1,1,0.0,0.0,0.005080440305,-0.005080440305,-0.005080440305,"{'MOT20-02': -0.005080440305, 'MOT20-03': 0.0, 'MOT20-05': 0.0}",0.8,0.9,0,MOT20-01,extra_d7_l3,mean_target_q25,disp_le_015,0,2,1
6,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",0,3,3,0.0,0.0,0.064218307269,-0.064218307269,-0.056191551416,"{'MOT20-02': -0.056191551416000005, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",0.8,0.933333333333,0,MOT20-01,extra_d7_l3,mean_target_q25,disp_le_020,0,2,2
