plan_key,created_at,updated_at,status,kind,script,dataset,split,tracker_family,variant,tag,run_root,summary_csv,checkpoint,calibrator_npz,log_path,notes,laplace_primary_only,laplace_no_det_score,laplace_decay_scales,laplace_min_history,laplace_proto_mode,cmc_method,name,epochs,batch_groups,seq_override,det_root,analysis_dir,run_base,run_heuristic,run_learned,laplace_disable_pole_bank,exit_code,lr,hist_hidden,pair_hidden,anchor_alpha,delta_scale,min_history,max_history,disable_set_encoder,disable_background,allow_empty_val,run_current_learned,run_haca,haca_disable_set_encoder,haca_disable_background,haca_version,disable_hist_gate,disable_ood_gate,loss_shift_weight,base_npz,comp_topk,comp_margin_quantile,comp_margin_temperature,comp_delta_scale,duel_margin,loss_duel_weight,samebase_run_root,strongsort_run_root,mot20_run_root,run_samebase,run_strongsort,run_mot20,stop_if_samebase_weak,stop_if_strongsort_collapses,main_train_run_root,main_pipeline_plan_key,run_transfer_for_best,poll_secs,stop_reason,haca_mode,wait_for_mot20_summary,wait_for_strongsort_summary,wait_for_strongsort,gpu_idle_mem_mb,wait_for_process_pattern,wait_for_process_grace_secs,best_candidate,best_hota,best_assa,best_beats_heur,zip_path,queue_label,best_mot20_label,best_mot20_ckpt,wait_plan_key,reason,queue_name,queue_root,oracle_group_jsonl,graph_topk,graph_min_detections,graph_min_committed_matches,detector_filter,val_sequences,experiment_name,seq_ids,owneralt_min_gap,owneralt_max_gap,owneralt_min_tracklet_len,owneralt_min_box_iou,owneralt_owner_max_tracklet_len,owneralt_owner_alt_det_min_score,owneralt_owner_alt_det_min_box_iou,owneralt_max_owner_edge_deficit,owneralt_owner_alt_bonus,owneralt_block_owner_on_reclaim,owneralt_gap1_min_box_iou,owneralt_gap1_owner_alt_det_min_box_iou,owneralt_gap1_max_owner_edge_deficit,owneralt_evidence_mode,owneralt_max_joint_penalty,owneralt_gap1_max_joint_penalty,reference_results_dir,track_high_thresh,track_low_thresh,new_track_thresh,track_buffer,match_thresh,proximity_thresh,appearance_thresh,reference_results_dirs,graph_assoc_top_k,graph_assoc_max_rows,graph_assoc_max_cols,graph_assoc_row_margin,graph_assoc_col_margin,graph_assoc_min_reclaim_time_since_update,graph_assoc_max_reclaim_time_since_update,graph_assoc_min_reclaim_tracklet_len,graph_assoc_recent_owner_max_time_since_update,graph_assoc_recent_owner_max_tracklet_len,graph_assoc_min_box_iou,graph_assoc_reclaim_bonus,graph_assoc_recent_owner_penalty,graph_assoc_iou_bonus,graph_assoc_score_bonus,graph_assoc_min_assignment_gain,graph_assoc_max_cost_delta,graph_assoc_force_match_cost,graph_assoc_allow_match_count_drop,graph_assoc_col_only_min_assignment_gain,graph_assoc_col_only_max_cost_delta,graph_assoc_allow_col_only_blocks,graph_assoc_require_row_involved_strict_reclaim,graph_assoc_row_involved_min_assignment_gain,graph_assoc_protect_young_active_rows,graph_assoc_young_active_max_time_since_update,graph_assoc_young_active_max_tracklet_len,graph_assoc_young_active_min_reclaim_gap,graph_assoc_young_active_max_cost_delta,graph_assoc_protect_stale_lost_owner_rows,graph_assoc_stale_lost_owner_min_time_since_update,graph_assoc_stale_lost_owner_min_tracklet_len,graph_assoc_stale_lost_owner_active_max_time_since_update,graph_assoc_stale_lost_owner_min_introduced_edge_utility,graph_assoc_dump_candidate_rows,graph_assoc_commit_checkpoint,graph_assoc_commit_device,graph_assoc_commit_score_margin,graph_assoc_commit_replace_rules,graph_assoc_commit_gate_only,graph_assoc_commit_decision_mode,graph_assoc_commit_threshold,graph_assoc_commit_neutral_risk_weight,graph_assoc_commit_positive_threshold,graph_assoc_commit_neutral_threshold,package_mode,device,score_margin,graph_assoc_commit_safety_min_gain,graph_assoc_commit_safety_max_cost_delta,graph_assoc_commit_safety_require_reclaim_improve,graph_assoc_commit_safety_require_same_match_count,graph_assoc_candidate_rerank_top_k,graph_assoc_learned_commit_rerank_candidates,teacher_mode,source_manifest,reentry_memory_enable,reentry_memory_use_low_score,reentry_memory_max_gap,reentry_memory_max_size,reentry_memory_min_similarity,reentry_memory_min_det_score,reentry_memory_app_weight,reentry_memory_iou_weight,reentry_memory_score_weight,reentry_memory_gap_weight,reentry_memory_compete_primary,reentry_memory_confirm_streak,reentry_memory_confirm_gap,reentry_memory_confirm_min_similarity,reentry_engine_enable,reentry_engine_hilbert_order,reentry_engine_bf_threshold,reentry_engine_spatial_radius,reentry_engine_max_spatial_radius,train_seqs,val_seq,manual_fix,haca_run_root,haca_checkpoint,stage1_run_root,eval_run_root,stage1_checkpoint,haca_no_background,no_background,track_exit_code,note,smoke_test,train_root,seq_name,seq_id,tracker_output_dir,rgot_analysis_dir,rgot_analysis_only,rgot_top_k,rgot_row_margin,rgot_col_margin,rgot_max_rows,rgot_max_cols,event_count,candidate_blocks,trigger_blocks
run_root:/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_learned_oldbest,2026-03-12T17:35:16+08:00,2026-03-12T18:24:00+08:00,completed,eval,scripts/run_botsort_lpb_ltra_mot20_eval.sh,MOT20,val_half,BoT-SORT,lpb_ltra_learned,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_learned_oldbest,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_learned_oldbest/eval/mot20_summary.csv,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_formal_mot17_shrink_20260311_191211/train_vec_20260311_201832/mot17_lpb_ltra_20260311_201832.npz,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_learned_oldbest/eval.log,completed_by_plan_watcher,1,0,1 2 4,3,multi,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_full_20260311_204037,2026-03-12T17:35:16+08:00,2026-03-12T17:35:16+08:00,completed,eval,scripts/run_botsort_lpb_ltra_eval.sh,MOT17,val_half,BoT-SORT,lpb_ltra_matrix,backfill,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_full_20260311_204037,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_full_20260311_204037/eval/mot17_summary.csv,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_formal_mot17_shrink_20260311_191211/train_vec_20260311_201832/mot17_lpb_ltra_20260311_201832.npz,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_full_20260311_204037/eval.log,backfilled_from_experiment_registry,,,,,,,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_formal_mot17_shrink_20260311_191211/train_vec_20260311_201832,2026-03-12T17:35:16+08:00,2026-03-12T17:35:16+08:00,completed,train,scripts/train_lpb_ltra_mot17.sh,MOT17,train_val_split,BoT-SORT,lpb_ltra_train,backfill,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_formal_mot17_shrink_20260311_191211/train_vec_20260311_201832,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_formal_mot17_shrink_20260311_191211/train_vec_20260311_201832/mot17_lpb_ltra_20260311_201832.npz,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_formal_mot17_shrink_20260311_191211/train_vec_20260311_201832/train.log,backfilled_from_experiment_registry,,,,,,,,12,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_allhalf_final_20260311_221239,2026-03-12T17:35:16+08:00,2026-03-12T17:35:16+08:00,completed,train,scripts/train_lpb_ltra_mot17_allhalf_final.sh,MOT17,all_half_final,BoT-SORT,lpb_ltra_allhalf_final,backfill,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_allhalf_final_20260311_221239,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_allhalf_final_20260311_221239/mot17_lpb_ltra_allhalf_20260311_221239.npz,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_allhalf_final_20260311_221239/train.log,backfilled_from_experiment_registry,,,,,,,,12,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:outputs/lpb_ltra_eval_allhalf_final_20260311_222116,2026-03-12T17:35:17+08:00,2026-03-12T17:35:17+08:00,completed,eval,scripts/run_botsort_lpb_ltra_eval.sh,MOT17,val_half,BoT-SORT,lpb_ltra_learned_allhalf_eval,backfill,outputs/lpb_ltra_eval_allhalf_final_20260311_222116,outputs/lpb_ltra_eval_allhalf_final_20260311_222116/eval/mot17_summary.csv,,outputs/lpb_ltra_allhalf_final_20260311_221239/mot17_lpb_ltra_allhalf_20260311_221239.npz,outputs/lpb_ltra_eval_allhalf_final_20260311_222116/eval.log,backfilled_from_experiment_registry,,,,,,,learned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:outputs/strongsort_lpb_ltra_smoke_20260312_001304,2026-03-12T17:35:17+08:00,2026-03-12T17:35:17+08:00,completed,eval,scripts/run_strongsort_lpb_ltra_mot17_val.sh,MOT17,val_half,StrongSORT,lpb_ltra_learned_smoke,backfill,outputs/strongsort_lpb_ltra_smoke_20260312_001304,outputs/strongsort_lpb_ltra_smoke_20260312_001304/summary.csv,,outputs/lpb_ltra_allhalf_final_20260311_221239/mot17_lpb_ltra_allhalf_20260311_221239.npz,outputs/strongsort_lpb_ltra_smoke_20260312_001304/run.log,backfilled_from_experiment_registry,,,,,,,base_eval,,,MOT17-02-FRCNN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:outputs/lpb_ltra_eval_mot20_learned_20260311_235019,2026-03-12T17:35:17+08:00,2026-03-12T17:35:17+08:00,completed,eval,scripts/run_botsort_lpb_ltra_mot20_eval.sh,MOT20,val_half,BoT-SORT,lpb_ltra_learned,manual_backfill,outputs/lpb_ltra_eval_mot20_learned_20260311_235019,outputs/lpb_ltra_eval_mot20_learned_20260311_235019/eval/mot20_summary.csv,,outputs/lpb_ltra_allhalf_final_20260311_221239/mot17_lpb_ltra_allhalf_20260311_221239.npz,outputs/lpb_ltra_eval_mot20_learned_20260311_235019/eval.log,backfilled_from_experiment_registry,1,0,1 2 4,3,multi,file,learned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:outputs/strongsort_lpb_ltra/MOT17_val_allhalf,2026-03-12T17:35:17+08:00,2026-03-12T17:35:17+08:00,completed,eval,scripts/run_strongsort_lpb_ltra_mot17_val.sh,MOT17,val_half,StrongSORT,lpb_ltra_learned,manual_backfill,outputs/strongsort_lpb_ltra/MOT17_val_allhalf,outputs/strongsort_lpb_ltra/MOT17_val_allhalf/summary.csv,,outputs/lpb_ltra_allhalf_final_20260311_221239/mot17_lpb_ltra_allhalf_20260311_221239.npz,outputs/strongsort_lpb_ltra/MOT17_val_allhalf/run.log,backfilled_from_experiment_registry,,,,,,,base_eval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest,2026-03-12T17:35:18+08:00,2026-03-12T17:35:18+08:00,completed,eval,scripts/run_strongsort_lpb_ltra_mot17_val.sh,MOT17,val_half,StrongSORT,lpb_ltra_learned,,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest/summary.csv,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_formal_mot17_shrink_20260311_191211/train_vec_20260311_201832/mot17_lpb_ltra_20260311_201832.npz,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest/run.log,backfilled_from_experiment_registry,,,,,,,base_eval,,,,/gemini/code/FMtrack-main/FM-Track/external/StrongSORT-master/MOT17_val_YOLOX+BoT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_learned_nodetscore,2026-03-12T17:35:18+08:00,2026-03-12T17:35:18+08:00,completed,eval,scripts/run_botsort_lpb_ltra_mot20_eval.sh,MOT20,val_half,BoT-SORT,lpb_ltra_learned,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_learned_nodetscore,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_learned_nodetscore/eval/mot20_summary.csv,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_allhalf_final_20260311_221239/mot17_lpb_ltra_allhalf_20260311_221239.npz,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_learned_nodetscore/eval.log,backfilled_from_experiment_registry,1,1,1 2 4,3,multi,file,learned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_smoke,2026-03-12T18:10:21+08:00,2026-03-12T18:13:37+08:00,completed,eval,scripts/run_strongsort_lpb_ltra_mot17_val.sh,MOT17,val_half,StrongSORT,lpb_ltra_learned,,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_smoke,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_smoke/summary.csv,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_formal_mot17_shrink_20260311_191211/train_vec_20260311_201832/mot17_lpb_ltra_20260311_201832.npz,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_smoke/run.log,,,,,,,,,,,MOT17-02-FRCNN,/gemini/code/FMtrack-main/FM-Track/external/StrongSORT-master/MOT17_val_YOLOX+BoT,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_smoke/pair_logs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_full_debug_queue,2026-03-12T18:16:46+08:00,2026-03-12T18:19:48+08:00,cancelled,eval,scripts/run_strongsort_lpb_ltra_mot17_val.sh,MOT17,val_half,StrongSORT,lpb_ltra_learned_debug,,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_full_debug_queue,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_full_debug_queue/summary.csv,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_formal_mot17_shrink_20260311_191211/train_vec_20260311_201832/mot17_lpb_ltra_20260311_201832.npz,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_full_debug_queue/run.log,debug_queue_cancelled,,,,,,,,,,,,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_full_debug_queue/pair_logs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_matrix_oldbest_debug_queue,2026-03-12T18:16:46+08:00,2026-03-12T18:19:49+08:00,cancelled,eval,scripts/run_botsort_lpb_ltra_mot20_eval.sh,MOT20,val_half,BoT-SORT,lpb_ltra_mot20_matrix,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_matrix_oldbest_debug_queue,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_matrix_oldbest_debug_queue/eval/mot20_summary.csv,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_formal_mot17_shrink_20260311_191211/train_vec_20260311_201832/mot17_lpb_ltra_20260311_201832.npz,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_matrix_oldbest_debug_queue/eval.log,debug_queue_cancelled,1,0,1 2 4,3,multi,file,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_full_20260312_181838,2026-03-12T18:18:38+08:00,2026-03-12T18:39:22+08:00,completed,eval,scripts/run_strongsort_lpb_ltra_mot17_val.sh,MOT17,val_half,StrongSORT,lpb_ltra_learned,,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_full_20260312_181838,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_full_20260312_181838/summary.csv,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_formal_mot17_shrink_20260311_191211/train_vec_20260311_201832/mot17_lpb_ltra_20260311_201832.npz,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_full_20260312_181838/run.log,queued_after_mot20_oldbest,,,,,,,,,,,/gemini/code/FMtrack-main/FM-Track/external/StrongSORT-master/MOT17_val_YOLOX+BoT,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_full_20260312_181838/pair_logs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_matrix_oldbest_20260312_181838,2026-03-12T18:18:39+08:00,2026-03-12T18:18:39+08:00,queued,eval,scripts/run_botsort_lpb_ltra_mot20_eval.sh,MOT20,val_half,BoT-SORT,lpb_ltra_mot20_matrix,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_matrix_oldbest_20260312_181838,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_matrix_oldbest_20260312_181838/eval/mot20_summary.csv,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_formal_mot17_shrink_20260311_191211/train_vec_20260311_201832/mot17_lpb_ltra_20260311_201832.npz,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_matrix_oldbest_20260312_181838/eval.log,queued_after_mot20_oldbest,1,0,1 2 4,3,multi,file,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_20260312_183923,2026-03-12T18:39:23+08:00,2026-03-13T03:35:36+08:00,completed,eval,scripts/run_botsort_lpb_ltra_mot20_eval.sh,MOT20,val_half,BoT-SORT,lpb_ltra_mot20_matrix,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_20260312_183923,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_20260312_183923/eval/mot20_summary.csv,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_formal_mot17_shrink_20260311_191211/train_vec_20260311_201832/mot17_lpb_ltra_20260311_201832.npz,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_20260312_183923/eval.log,actual_matrix_run_root,1,0,1 2 4,3,multi,file,,,,,,,1,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_learned_oldbest_nopole_20260312_213634,2026-03-12T21:36:35+08:00,2026-03-13T11:00:16+08:00,completed,eval,scripts/run_botsort_lpb_ltra_mot20_eval.sh,MOT20,val_half,BoT-SORT,lpb_ltra_mot20_matrix,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_learned_oldbest_nopole_20260312_213634,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_learned_oldbest_nopole_20260312_213634/eval/mot20_summary.csv,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_formal_mot17_shrink_20260311_191211/train_vec_20260311_201832/mot17_lpb_ltra_20260311_201832.npz,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_eval_mot20_learned_oldbest_nopole_20260312_213634/eval.log,queued_after_mot20_matrix,1,0,1 2 4,3,multi,file,,,,,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_root:/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_full_nopole_20260312_213634,2026-03-12T21:36:36+08:00,2026-03-13T11:11:36+08:00,completed,eval,scripts/run_strongsort_lpb_ltra_mot17_val.sh,MOT17,val_half,StrongSORT,lpb_ltra_learned,,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_full_nopole_20260312_213634,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_full_nopole_20260312_213634/summary.csv,,/gemini/code/FMtrack-main/FM-Track/outputs/lpb_ltra_formal_mot17_shrink_20260311_191211/train_vec_20260311_201832/mot17_lpb_ltra_20260311_201832.npz,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_full_nopole_20260312_213634/run.log,queued_after_mot20_matrix,,,,,,,,,,,/gemini/code/FMtrack-main/FM-Track/external/StrongSORT-master/MOT17_val_YOLOX+BoT,/gemini/code/FMtrack-main/FM-Track/outputs/strongsort_lpb_ltra/MOT17_val_oldbest_debug_full_nopole_20260312_213634/pair_logs,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
